,,upstream,,,,,,,,downstream,
position (m),width (m),velocity (m/s),gauge pressure (Pa),absolute pressure (Pa),momentum flow in (kg*m/s^2),pressure force (kg*m/s^2),,,,,
0.0254,0.3048,20.34938224,421.0300083,100078.97,3.90753486,774.8040149,,,1,20.97537192,435.6021904
0.0508,0.3048,20.24703075,420.8658147,100079.1342,3.853509977,774.8135487,,,2,20.92018435,435.6432388
0.0762,0.3048,20.06749442,418.5671042,100081.4329,3.765163403,774.8469171,,,3,20.85039182,437.510941
0.1016,0.3048,19.7815901,412.2456506,100087.7543,3.662833917,774.8949039,,,4,20.27349351,444.9612257
0.127,0.3048,19.5224128,406.1704873,100093.8295,3.610080208,774.9225519,,,4.5,19.49149254,450.4042436
0.1524,0.3048,19.49836795,405.1032289,100094.8968,3.629147814,774.9155604,,,5,18.28284462,456.988407
0.1778,0.3048,19.62512852,407.9766169,100092.0234,3.692070913,774.8933149,,,5.25,17.02733494,458.630343
0.2032,0.3048,19.83572223,410.850005,100089.15,3.748002557,774.8806032,,,5.5,16.55588054,458.4333107
0.2286,0.3048,19.92337325,411.260489,100088.7395,3.76770575,774.8786964,,,5.75,16.92073208,459.861795
0.254,0.3048,19.94018504,411.3425858,100088.6574,3.292286776,775.128482,,,6,18.08520801,457.5220362
0.2794,0.3048,17.22446452,346.7324036,100153.2676,,,,,6.25,18.97359326,455.962197
,,,,,,,,,6.5,19.54128444,451.0363889
,,,,,,,,,6.75,20.40570305,448.1630009
,,,,,,,,,7,20.31807125,446.3773955
,,,,,,,,,7.5,20.77794595,441.9646924
,,,,,,,,,8,20.90624448,438.8778527
,,,,,,,,,9,20.96962,437.6340862
,,,,,,,,,10,15.65712274,443.5081123
,,,,,,,,,11,2.756975276,346.4450648
